זמן תשובה,רב,תשובה
2021-07-04 07:45:04,הרב צביקה,אסור להסתפר.
2021-07-04 12:48:31,הרב צביקה,אסור לאכול חמץ שעבר עליו הפסח.
2021-07-04 18:05:51,הרב צביקה,היום אין שיעור
2021-07-04 18:06:02,הרב צביקה,תרופה טעימה צריך לברך
2021-07-04 21:26:18,הרב צביקה,כן
2021-07-04 21:27:17,הרב צביקה,קומקום חשמלי ?
2021-07-04 22:37:54,הרב צביקה,צריך להטביל את כל הקומקום בגלל הגוף חימום שהוא מחובר והוא ממתכת
2021-07-04 22:40:50,הרב צביקה,השולחן ערוך כותב שצריך ללכת למניין 4 מילין
2021-07-04 22:41:58,הרב צביקה,זה אם זה לכיוון שהוא הולך.
2021-08-04 15:13:22,הרב צביקה,תלוי בכם
2021-08-04 16:01:42,הרב צביקה,"זכור לי שבפעם הקודמת שעשינו שיעור בבין הזמנים, היו כמה שהקפידו"
2021-09-04 16:55:07,הרב צביקה,לא
2021-09-04 17:15:08,הרב צביקה,אם זה לא מהנה יותר קל
2021-09-04 17:58:47,הרב צביקה,בראש חודש לא.
2021-11-04 11:09:09,הרב צביקה,כן
2021-11-04 17:38:25,הרב צביקה,מחר שיעור פתיחה לזמן קיץ
2021-12-04 09:26:52,הרב צביקה,בלי ברכה
2021-03-05 09:27:43,הרב צביקה,אפשר היום שהשיעור יהיה בשעה 10:30 במקום 11:30 ?
2021-03-05 09:27:57,הרב צביקה,מי יכול לבדוק עם כולם אם זה מסתדר ?
2021-03-05 09:28:31,הרב צביקה,זה היה מהר !
2021-03-05 13:19:24,הרב צביקה,אוצר הפוסקים
2021-03-05 13:19:49,הרב צביקה,👍🏻
2021-04-05 08:43:03,הרב צביקה,10:40 שיעור
2021-05-05 16:32:12,הרב צביקה,17:30
2021-06-05 19:56:14,הרב צביקה,מי שרוצה ויכול יש תרומת דם עכשיו בקורנית.
2021-07-05 15:23:37,הרב צביקה,שבת שלום
2021-10-05 13:17:22,הרב צביקה,סיום סחיטת פירות
2021-12-05 14:39:44,הרב צביקה,היום לא יהיה שיעור בהקדמות
2021-12-05 20:35:47,הרב צביקה,לא
2021-01-06 09:16:14,הרב צביקה,יש שיעור היום
2021-01-06 09:20:57,הרב צביקה,👍🏻
2021-01-06 09:34:53,הרב צביקה,קבעתי עם שנה א
2021-01-06 09:35:56,הרב צביקה,ככה זה כשעושים טיול בלעדיי
2021-02-06 16:37:47,הרב צביקה,לא יהיה היום שיעור בהקדמות.
2021-02-06 17:37:14,הרב צביקה,"בעז""ה"
2021-03-06 16:58:26,הרב צביקה,כשר
2021-03-06 16:59:17,הרב צביקה,בקשר לחוטי חשמל.
2021-04-06 14:24:39,הרב צביקה,עונג שבת
2021-04-06 16:37:53,הרב צביקה,יש איסור להתאפק
2021-06-06 09:08:58,הרב צביקה,שיעור בהקדמות בכולל
2021-06-06 09:09:22,הרב צביקה,11:30 שיעור על מצוות לימוד תורה.
2021-07-06 06:58:52,הרב צביקה,כן.
2021-08-06 09:56:03,הרב צביקה,היום שיעור סרט !
2021-08-06 10:23:28,הרב צביקה,כן
2021-09-06 12:49:21,הרב צביקה,מותר
2021-09-06 16:26:57,הרב צביקה,שיעור בהקדמות
2021-10-06 16:15:52,הרב צביקה,כן
2021-10-06 19:08:56,הרב צביקה,אם עדיין זה תאריך טוב מותר.
2021-10-06 19:50:01,הרב צביקה,לא
2021-10-06 20:36:13,הרב צביקה,אם היה חום שהיד סולדת צריך לקלף את המקום שנגע בו הבשר
2021-12-06 23:07:08,הרב צביקה,"1. ספר שיש בו דפים דבוקים, אם הדיבוק הוא מהיצור כלומר שלא חתכו את הדפים כראוי, ואף פעם הדפים האלו לא נפרדו, אסור להפריד בשבת."
2021-12-06 23:08:12,הרב צביקה,2. אח גדול צריך לכבד אך לא נהגו לעמוד כשהוא עולה לתורה.
2021-01-07 23:57:40,הרב צביקה,אאחר בכמה דקות
2021-02-07 11:28:08,הרב צביקה,עונג שבת אחרון לשנה הזאת    !  !  !
2021-04-07 08:36:43,הרב צביקה,"לו""ז להיום :"
2021-05-07 08:41:57,הרב צביקה,לא מכיר.
2021-06-07 13:02:48,הרב צביקה,צריך להשתדל עם גבר.
2021-06-07 19:42:32,הרב צביקה,אם עברו 24 שעות מבישול הבשר מותר לאכול את המאכל הפרווה עם חלבי
2021-07-07 09:51:42,הרב צביקה,שיעור בזוגיות יהיה בשעה 14:45 לפני מנחה
2021-07-07 14:33:25,הרב צביקה,מחילה.
2021-07-07 14:33:38,הרב צביקה,"בעז""ה יהיה שיעור בהקדמות בשעה 17:30"
2021-07-07 15:43:47,הרב צביקה,אסורה
2021-07-07 15:48:02,הרב צביקה,בעקרון אסור לצבוע.
2021-07-07 16:30:07,הרב צביקה,אם צריך אותם
2021-07-07 19:27:49,הרב צביקה,"פסלונים שיש בהם צורת אדם שלמה אסור להכין, וגם ראוי שלא לקנות ולשים בבית."
2021-07-07 19:28:08,הרב צביקה,רכב נטוש אפשר לקחת חפצים שאין בהם סימן
2021-08-07 13:59:38,הרב צביקה,"אם אמרת רק ברוך אתה ה' , מסיימים למדני חוקיך."
2021-08-07 20:45:56,הרב צביקה,"1. אסור לתת לגוי מתנה, אך טיפ זה דבר מקובל ומחייב ולכן מותר."
2021-08-07 20:49:58,הרב צביקה,כל מתנה לגוי אסורה.
2021-08-07 22:40:00,הרב צביקה,"איסור ""לא תחנם"""
2021-08-07 22:41:57,הרב צביקה,"אין חובה ללמד גוי בתהליך גיור, אבל זה דבר טוב."
2021-09-07 11:09:32,הרב צביקה,1. אסור ללבוש בגדים חדשים גם לשבת.
2021-09-07 11:54:54,הרב צביקה,מותר
2021-09-07 12:06:10,הרב צביקה,יש לי גם שעון כזה לשבת
2021-09-07 12:23:29,הרב צביקה,הסינים מייצרים כאלה שעונים כדי שנוכל להתעורר מוקדם בשבת ללמוד תורה ולהתפלל.
2021-09-07 12:38:41,הרב צביקה,גומייה . . .
2021-09-07 13:52:22,הרב צביקה,"שבת הבהאה סעודה שלישית היא הסעודה המפסקת, אך אין לה הגבלות שיש לסעודה מפסקת רגילה לפני תשעה באב אלא אוכלים כרגיל ומפסיקים לפני השקיעה"
2021-09-07 14:18:02,הרב צביקה,בתשעת הימים לאשכנזים אסור ללבוש בגד מכובס.
2021-09-07 16:53:58,הרב צביקה,אסור
2021-09-07 17:13:39,הרב צביקה,לא
2021-09-07 18:11:32,הרב צביקה,לא
2021-09-07 18:11:36,הרב צביקה,תתהאפקו
2021-09-07 18:12:52,הרב צביקה,"אם באמת יהיה הפסד לא לקנות עכשיו, אפשרי להקל אך לא להשתמש"
2021-10-07 21:57:46,הרב צביקה,"1. מותר להוציא קוץ בשבת, צריך להזהר שלא יצא דם, אם יצא לא נורא רק לא ללחוץ להוצאת דם."
2021-10-07 22:02:41,הרב צביקה,רק אם לא יהיה זמן לקנות אחרי תשעה באב
2021-10-07 22:13:43,הרב צביקה,אין בעיה לסגור דברים
2021-10-07 22:14:50,הרב צביקה,שיהיה במזל טוב
2021-11-07 12:43:25,הרב צביקה,כן
2021-11-07 12:52:55,הרב צביקה,מותר
2021-11-07 14:13:14,הרב צביקה,לא
2021-11-07 16:34:18,הרב צביקה,המנהג שלא לאכול בשר
2021-12-07 09:52:18,הרב צביקה,למי שנמצא פה :
2021-01-08 00:01:15,הרב צביקה,בעקרון במקום כשר אמורים להקפיד שרק הלקוח (או המשגיח) פותחים בקבוקי יין.
2021-02-08 08:05:14,הרב צביקה,אם חוט אחד מהשמונה נקרע זה כשר
2021-03-08 10:30:31,הרב צביקה,לא צריך
2021-03-08 12:06:41,הרב צביקה,כל מה שנוגע באוכל.
2021-03-08 13:18:31,הרב צביקה,כן.
2021-03-08 13:44:53,הרב צביקה,אם מה שנוגע באוכל עשוי מפלסטיק לא צריך להטביל
2021-04-08 17:21:04,הרב צביקה,לא
2021-04-08 23:10:02,הרב צביקה,אם אכלת כזית לחם צריך לברך ברכת המזון.
2021-05-08 07:51:57,הרב צביקה,לאשכנזים כן
2021-05-08 09:15:01,הרב צביקה,כן
2021-05-08 09:15:07,הרב צביקה,בבעיה
2021-05-08 09:31:31,הרב צביקה,אם התמונות של האנשים מוסתרות אין בעיה
2021-05-08 17:06:02,הרב צביקה,"מותר לשים, אבל זה גורם למגבלה בשימוש בחדר. אסורלעמוד מול הספרים ערום."
2021-05-08 17:21:25,הרב צביקה,רק ערום אסור
2021-05-08 17:32:32,הרב צביקה,אתה מתכוון בשר חלק ?
2021-05-08 17:33:09,הרב צביקה,מותר לאכול תבשילים אחרים שנגעו או התבשלו עם בשר רגיל
2021-05-08 19:12:04,הרב צביקה,אפשרי
2021-05-08 21:32:44,הרב צביקה,כן
2021-05-08 22:48:27,הרב צביקה,אם אמרת ללא שם ומלכות אפשר
2021-07-08 23:29:20,הרב צביקה,1. אם ידוע שהוא אינו עני או שישתמש בכסף לדברים שלילים לא צריך לתת לו.
2021-08-08 07:01:19,הרב צביקה,נכון
2021-08-08 07:01:37,הרב צביקה,לתת סכום קטן
2021-08-08 07:02:16,הרב צביקה,התפילין לא פסולות אבל כדאי מהר לתקן וכדאי גם לבדוק את הפרשיות שלא נכנסה לחות
2021-09-08 19:32:09,הרב צביקה,לא מכיר את המייסדים
2021-09-08 19:44:49,הרב צביקה,אז לא לקרוא
2021-10-08 16:00:33,הרב צביקה,התכלת
2021-10-08 20:35:39,הרב צביקה,"בארץ ישראל נוהגים כשו""ע יו""ד סימן שסב סעיף א - יפה לקוברו בקרקע ממש."
2021-10-08 21:19:31,הרב צביקה,"השו""ע שם כותב שגם בחן""ל ראוי לקבור בקרקע ממש"
2021-11-08 17:25:40,הרב צביקה,מחילה.
2021-05-09 14:28:22,הרב צביקה,מנסה לצום.
2021-05-09 22:31:53,הרב צביקה,"אם התנור נקי משאריות בשריות, לספרדים החלות כפרווה."
2021-05-09 22:44:54,הרב צביקה,לא
2021-05-09 22:49:43,הרב צביקה,מותר אם הרכב לא זז
2021-05-09 23:09:32,הרב צביקה,לחזור בתשובה שלמה
2021-06-09 08:03:51,הרב צביקה,1. מעשר כספים הוא מנהג ולא חובה.
2021-09-09 15:14:37,הרב צביקה,כן
2021-12-09 11:36:27,הרב צביקה,מותר לקטוף לצורך ביתי ולא מסחרי
2021-02-10 20:59:28,הרב צביקה,1. יש כל מיני סגולות.
2021-02-10 21:28:42,הרב צביקה,"הרמב""ם כתב :  אלו הטפשים לא די להם שביטלו המצווה, אלא שעשו מצווה גדולה שהיא יחוד השם של הקב""ה ואהבתו ועבודתו כאילו הוא קמיע של הניית עצמן כמו שעולה על לבם הסכל"
2021-02-10 21:29:19,הרב צביקה,מותר לעשות בדיקת קורונה שגורמת לסימון על מקל הבדיקה
2021-02-10 21:30:22,הרב צביקה,לא
2021-04-10 11:36:22,הרב צביקה,רק לספרדים
2021-04-10 11:38:28,הרב צביקה,אשכנזי יכול להשתמש בכלי זכוכית רק קר
2021-04-10 11:50:52,הרב צביקה,מותר להיות נוכח
2021-04-10 11:57:22,הרב צביקה,אין בעיה
2021-05-10 07:15:27,הרב צביקה,"1. לכתחילה עדיף שהאמה תהיה מכוסה, יש מתירים שהיד ששם התפילין תהיה יותר גלויה. (בן איש חי)."
2021-06-10 13:40:38,הרב צביקה,האוכל לא נאסר
2021-06-10 13:41:05,הרב צביקה,"לכתחילה אסור להשתמש בכלים לא טבולים, אבל אם כבר האוכל נמצא שם הוא לא נאסר"
2021-06-10 14:26:16,הרב צביקה,כן
2021-07-10 11:58:57,הרב צביקה,אם יש עליו כשרות הוא עבר ניקור
2021-07-10 11:59:45,הרב צביקה,"אם אתה לא שיקרת אלא מישהו דווח לא נכון, זו לא בעיה שלך"
2021-07-10 13:38:12,הרב צביקה,מותר רק בתוך הבית עצמו.
2021-07-10 13:56:55,הרב צביקה,כל זמן שיש ניתוק בין הצמח לקרקע ויש תקרה על הצמח אפשר
2021-07-10 15:03:17,הרב צביקה,אם היא סגורה לגמרי
2021-08-10 06:50:29,הרב צביקה,כן
2021-08-10 07:09:25,הרב צביקה,לא צריך.
2021-10-10 11:56:55,הרב צביקה,"לא לברך כי לא היית ממש במצב של סכנה, רק התברר שאם החה קורה אחרת היית מסתכן."
2021-10-10 11:58:07,הרב צביקה,האוכל לא נאסר.
2021-10-10 12:12:43,הרב צביקה,"אוכל שהיה מוכן ורק הגיע בשבת , חילול השבת של הנסיעה לא אוסר את האוכל, כי לא נעשה איסור באוכל עצמו."
2021-10-10 12:13:23,הרב צביקה,☝️ סעיף סו בילקוט יוסף
2021-10-10 12:25:27,הרב צביקה,שראוי להחמיר .
2021-10-10 12:26:30,הרב צביקה,כן.
2021-11-10 12:51:34,הרב צביקה,בפה אומרים אדני
2021-11-10 12:52:47,הרב צביקה,יקרא בפה לפי הניקוד.
2021-11-10 12:53:36,הרב צביקה,יש כל מיני ניקודים.
2021-11-10 12:54:05,הרב צביקה,👍🏻
2021-07-11 08:21:05,הרב צביקה,לא
2021-07-11 18:11:12,הרב צביקה,בשתי השאלות זה בשרי
2021-07-11 18:21:38,הרב צביקה,6 שעות
2021-07-11 18:21:50,הרב צביקה,אם הוא קנה בשבילך אסור
2021-07-11 19:36:11,הרב צביקה,ליטול ידיים
2021-08-11 08:29:32,הרב צביקה,הכלב מותר.
2021-08-11 08:29:51,הרב צביקה,מגדיל או מגדול אין צריך לחזור בגלל זה
2021-08-11 09:27:33,הרב צביקה,יג מידות צריך להגיד עם הציבור
2021-08-11 09:42:48,הרב צביקה,מותר
2021-09-11 07:07:44,הרב צביקה,אם הבצק עצמו לא מתוק ברכתו המוציא
2021-09-11 13:43:56,הרב צביקה,אם המטרה לעזור והחבר יכול לעזור מותר ומצווה
2021-09-11 17:24:23,הרב צביקה,אפשר
2021-09-11 22:22:09,הרב צביקה,לא להגיד.
2021-10-11 14:27:05,הרב צביקה,פעם אחת על שניהם
2021-10-11 17:20:04,הרב צביקה,לא ידוע.
2021-11-11 13:04:55,הרב גבריאל פאל,14:00
2021-11-11 13:04:55,הרב גבריאל פאל,תוציאי
2021-11-11 15:31:04,הרב צביקה,כן
2021-11-11 21:27:09,הרב צביקה,"אם יש חשש שהידיעה הרעה תגרום החמרה למצבו, מותר לשנות."
2021-11-11 21:32:59,הרב צביקה,אם יש חשש סכנה מותר אפילו לחלל שבת
2021-11-11 21:33:59,הרב צביקה,אם יש כשרות לא צריך לחשוש.
2021-11-11 21:34:30,הרב צביקה,בצער כדאי לא לשקר ממש
2021-12-11 05:03:13,הרב צביקה,אם אין ברירה אחרת
2021-01-12 08:53:29,הרב צביקה,כן
2021-01-12 09:07:48,הרב צביקה,ללא צער
2021-01-12 11:08:53,הרב צביקה,"אין לנו באמת הבנה לפני הבריאה, דברי חז""ל מדברים על מדרגות גבוהות שהתורה  שייכת מעבר ומעל העולם הזה"
2021-01-12 11:09:20,הרב צביקה,"אין איסור להרוג בע""ח, יש איסור לצער אותם."
2021-01-12 13:10:53,הרב צביקה,מותר להרוג בעל חיים לצורך.
2021-01-12 13:15:13,הרב צביקה,צריך לדון כל אדם לכף זכות.
2021-01-12 13:35:56,הרב צביקה,לא
2021-01-12 14:06:22,הרב צביקה,"אנשים רשעים ממש וכופרים משמע מהחפץ חיים שלא צריך, אבל הוא כותב שכל שיש צד לדון לכף זכות צריך"
2021-01-12 14:06:23,הרב צביקה,חומרים החייבים בטבילה הם מתכת וזכוכית
2021-01-12 14:56:27,הרב צביקה,כן
2021-01-12 16:05:53,הרב צביקה,"""יש אנשים שמתאבדים פעם אחת, ויש אנשים שמתאבדים לאט לאט, כל יום מאבדים קצת מהחיים שלהם"" (שמעתי מהרב נבנצאל)"
2021-01-12 17:14:47,הרב צביקה,אין איסור בזה
